StoreID,StoreName,Category,City,OpeningDate
1,Fogão a Lenha Cidade,Burgers,Perobal,2022-01-10
2,Igor Burguer Shopping,Comida Brasileira,Tonantins,2021-04-17
3,Dona Rosa Burguer Avenida,Churrasco,Campo Novo do Parecis,2023-06-03
4,La Cucina Shopping Cidade,Burgers,Maracaí,2023-03-01
5,Mesa Farta Shopping Avenida,Sobremesas,São Gonçalo do Sapucaí,2022-12-24
6,Cozinha & Sabor EIRELI Cidade,Sobremesas,Coxixola,2022-04-08
7,Tempero Caseiro 2 Filial,Comida Brasileira,Gravatal,2021-12-14
8,Tonhão Burguer Shopping,Sushi,Novo Barreiro,2025-09-20
9,Cozinha & Brasa EIRELI Shopping Avenida,Churrasco,Uberaba,2021-10-27
10,Delícias Express Shopping Cidade,Sobremesas,Muzambinho,2024-09-01
11,Peixe na Brasa Shopping Cidade,Churrasco,Confresa,2021-05-08
12,Forno Mestre LTDA Shopping,Comida Brasileira,Bom Princípio do Piauí,2021-05-02
13,Cozinha & Fogo LTDA Shopping Avenida,Vegetariano,Esperantinópolis,2021-11-17
14,Guto Burguer Cidade,Sobremesas,Pedro Alexandre,2022-12-10
15,Pão & Prosa Belvedere,Pizza,São Francisco do Conde,2023-01-22
16,Arte na Cozinha EIRELI Pátio,Churrasco,Aurora do Tocantins,2025-05-19
17,Wok & Roll Shopping,Burgers,Croatá,2021-04-22
18,Cozinha Raiz LTDA Filial,Burgers,Glorinha,2025-11-08
19,Pastel do Ponto Belvedere,Vegetariano,Natividade,2022-10-09
20,Pastel Express Galeria,Churrasco,Marilândia do Sul,2025-09-19
21,Sabor em Foco ME Shopping Avenida,Pizza,Panambi,2024-08-25
22,Diego Burguer Cidade,Pizza,Monsenhor Paulo,2022-12-15
23,Panela Moderna LTDA Shopping Cidade,Comida Brasileira,Gado Bravo,2024-11-25
24,Mucho Sabor Belvedere,Comida Brasileira,Joaquim Pires,2023-06-13
25,Cozinha da Vila Shopping Cidade,Sushi,Bocaina de Minas,2021-02-19
26,Dinho Burguer Shopping Avenida,Sobremesas,Araçariguama,2022-06-10
27,Raízes da Cozinha ME Shopping Avenida,Sushi,Francisco Sá,2024-09-04
28,Naturalmente Filial,Pizza,Jijoca de Jericoacoara,2023-12-23
29,Sushi Way Shopping,Churrasco,Santa Terezinha,2023-06-12
30,Chico Burguer Filial,Churrasco,Pau D'Arco,2022-05-28
31,Nego Burguer Filial,Comida Brasileira,Felício dos Santos,2022-11-29
32,Prato & Panela ME Pátio,Pizza,Pratápolis,2023-12-11
33,Receita Urbana LTDA Galeria,Churrasco,Dona Francisca,2021-12-13
34,Trigo & Sabor Galeria,Sushi,Flexeiras,2021-11-14
35,Cozinha Criativa LTDA Shopping,Burgers,Ibiapina,2024-04-24
36,Thiago Burguer Filial,Comida Brasileira,Boqueirão,2021-11-26
37,Café do Ponto Shopping Cidade,Sobremesas,Santa Lúcia,2024-02-19
38,Rafa Burguer Avenida,Sobremesas,Biritiba Mirim,2024-01-03
39,Mesa & Sabor ME Belvedere,Burgers,Presidente Epitácio,2023-05-01
40,Marcos Burguer Shopping Cidade,Sushi,Monte Formoso,2021-06-13
41,Lu Burguer Galeria,Vegetariano,Matipó,2024-12-27
